stress_threshold,reversion_threshold,vix_bull_fragile,gex_override,pos_stress,pos_reversion,pos_fragile,pos_quiet,pos_neutral,sharpe_ratio,total_return,max_drawdown,num_trades,avg_position
0.94,1.02,15,True,0.1,1.0,0.7,1.0,0.5,0.8253123028227916,4.564152093409784,-0.201496953262673,613,0.7967733739837397
0.94,1.02,15,True,0.1,1.0,0.7,1.0,0.3,0.8253123028227916,4.564152093409784,-0.201496953262673,613,0.7967733739837397
0.94,1.06,15,True,0.1,1.0,0.8,1.0,0.7,0.8252807886247563,5.609476531774874,-0.20562299406310117,568,0.8851880081300814
0.94,1.06,15,True,0.1,1.0,0.8,1.0,0.3,0.8252807886247563,5.609476531774874,-0.20562299406310117,568,0.8851880081300814
0.94,1.06,15,True,0.1,1.0,0.8,1.0,0.5,0.8252807886247563,5.609476531774874,-0.20562299406310117,568,0.8851880081300814
0.94,1.06,35,True,0.0,0.9,0.8,1.0,0.7,0.8252349914123567,6.014513748627355,-0.2013082040068136,444,0.9437754065040651
0.94,1.06,35,True,0.0,0.9,0.8,1.0,0.5,0.8252349914123567,6.014513748627355,-0.2013082040068136,444,0.9437754065040651
0.94,1.06,35,True,0.0,0.9,0.6,1.0,0.5,0.8252349914123567,6.014513748627355,-0.2013082040068136,444,0.9437754065040651
0.94,1.06,35,True,0.0,0.9,0.7,1.0,0.3,0.8252349914123567,6.014513748627355,-0.2013082040068136,444,0.9437754065040651
0.94,1.06,35,True,0.0,0.9,0.6,1.0,0.7,0.8252349914123567,6.014513748627355,-0.2013082040068136,444,0.9437754065040651
0.94,1.06,35,True,0.0,0.9,0.5,1.0,0.7,0.8252349914123567,6.014513748627355,-0.2013082040068136,444,0.9437754065040651
0.94,1.06,35,True,0.0,0.9,0.5,1.0,0.5,0.8252349914123567,6.014513748627355,-0.2013082040068136,444,0.9437754065040651
0.94,1.06,35,True,0.0,0.9,0.5,1.0,0.3,0.8252349914123567,6.014513748627355,-0.2013082040068136,444,0.9437754065040651
0.94,1.06,35,True,0.0,0.9,0.8,1.0,0.3,0.8252349914123567,6.014513748627355,-0.2013082040068136,444,0.9437754065040651
